ROWID,TRUTH,TRAININGSET
792.txt,4,1
795.txt,4,1
796.txt,4,1
801.txt,4,1
809.txt,4,1
818.txt,-2,1
820.txt,2,1
824.txt,4,1
825.txt,4,1
830.txt,4,1
1120.txt,4,1
1123.txt,4,1
1124.txt,4,1
1128.txt,4,1
1129.txt,4,1
1130.txt,4,1
1132.txt,3,1
1134.txt,4,1
1135.txt,4,1
1136.txt,4,1
1139.txt,-1,1
1141.txt,4,1
1142.txt,-2,1
1143.txt,4,1
1145.txt,4,1
1146.txt,4,1
1149.txt,4,1
1151.txt,-2,1
1152.txt,4,1
1153.txt,-2,1
1156.txt,4,1
1163.txt,4,1
1167.txt,4,1
1169.txt,-2,1
1171.txt,4,1
1172.txt,-2,1
1173.txt,4,1
1174.txt,4,1
1175.txt,4,1
1176.txt,4,1
1177.txt,4,1
1178.txt,-2,1
1179.txt,4,1
1180.txt,4,1
1182.txt,4,1
1186.txt,4,1
1189.txt,4,1
1192.txt,4,1
1194.txt,1,1
1197.txt,4,1
1198.txt,4,1
1199.txt,4,1
1200.txt,4,1
1202.txt,4,1
1204.txt,4,1
1207.txt,4,1
1209.txt,4,1
1211.txt,1,1
1212.txt,4,1
1215.txt,-2,1
1216.txt,-1,1
1220.txt,4,1
1222.txt,-2,1
1223.txt,3,1
1224.txt,4,1
1225.txt,4,1
1229.txt,3,1
1230.txt,3,1
1231.txt,4,1
1232.txt,4,1
1237.txt,4,1
1238.txt,1,1
1239.txt,1,1
1244.txt,4,1
1245.txt,4,1
1249.txt,4,1
1251.txt,-2,1
1254.txt,4,1
1258.txt,4,1
1260.txt,-2,1
1262.txt,4,1
1264.txt,-2,1
1285.txt,4,1
1286.txt,4,1
1287.txt,1,1
1291.txt,-1,1
1293.txt,4,1
1294.txt,4,1
1295.txt,-2,1
1296.txt,4,1
1297.txt,-2,1
1298.txt,4,1
1299.txt,-2,1
1300.txt,3,1
1302.txt,4,1
1303.txt,4,1
1304.txt,4,1
1305.txt,4,1
1311.txt,2,1
1313.txt,4,1
1338.txt,-2,1
1339.txt,4,1
1437.txt,-1,1
1441.txt,4,1
1452.txt,4,1
1454.txt,4,1
1455.txt,4,1
1460.txt,-2,1
1464.txt,-2,1
1465.txt,4,1
1466.txt,2,1
1485.txt,4,1
1486.txt,4,1
1490.txt,-2,1
1494.txt,4,1
1495.txt,-2,1
1496.txt,4,1
1497.txt,-2,1
1498.txt,-2,1
1500.txt,3,1
1501.txt,4,1
1502.txt,3,1
1509.txt,4,1
1510.txt,4,1
1513.txt,4,1
1514.txt,4,1
1521.txt,4,1
1523.txt,4,1
1525.txt,3,1
1527.txt,4,1
1531.txt,3,1
1533.txt,4,1
1534.txt,4,1
1536.txt,4,1
1537.txt,-2,1
1543.txt,4,1
1544.txt,4,1
1545.txt,4,1
1547.txt,4,1
1548.txt,4,1
1550.txt,4,1
1551.txt,4,1
1552.txt,4,1
1554.txt,-2,1
1556.txt,3,1
1564.txt,4,1
1566.txt,4,1
1570.txt,4,1
1572.txt,3,1
1581.txt,4,1
1582.txt,-2,1
1583.txt,-2,1
1586.txt,-2,1
1587.txt,1,1
1588.txt,2,1
1589.txt,-1,1
1590.txt,-2,1
1591.txt,-2,1
1592.txt,-2,1
1593.txt,-2,1
1595.txt,-2,1
1596.txt,4,1
1597.txt,-1,1
1599.txt,1,1
1601.txt,-2,1
1602.txt,-2,1
1603.txt,-2,1
1604.txt,4,1
1605.txt,-2,1
1607.txt,4,1
1609.txt,4,1
1610.txt,4,1
1611.txt,4,1
1612.txt,4,1
1613.txt,4,1
1614.txt,4,1
1615.txt,4,1
1616.txt,-2,1
1618.txt,3,1
1620.txt,-2,1
1621.txt,-2,1
1628.txt,4,1
1629.txt,4,1
1634.txt,3,1
1635.txt,4,1
1637.txt,4,1
1640.txt,4,1
1641.txt,4,1
1643.txt,3,1
1649.txt,3,1
1650.txt,3,1
1651.txt,3,1
1652.txt,3,1
1664.txt,3,1
1665.txt,3,1
1666.txt,3,1
1667.txt,3,1
1668.txt,3,1
1669.txt,3,1
1670.txt,3,1
1671.txt,3,1
1672.txt,3,1
1673.txt,3,1
1674.txt,3,1
1675.txt,3,1
1676.txt,3,1
1677.txt,3,1
1678.txt,3,1
1679.txt,3,1
1684.txt,3,1
1685.txt,3,1
1686.txt,3,1
1687.txt,3,1
1688.txt,3,1
1690.txt,3,1
1692.txt,3,1
1693.txt,3,1
1694.txt,4,1
1695.txt,4,1
1696.txt,3,1
1697.txt,4,1
1700.txt,4,1
1702.txt,3,1
1703.txt,3,1
1704.txt,3,1
1710.txt,4,1
1712.txt,4,1
1716.txt,4,1
1717.txt,4,1
1719.txt,4,1
1723.txt,4,1
1725.txt,4,1
1727.txt,4,1
1729.txt,-1,1
1730.txt,4,1
1732.txt,4,1
1736.txt,4,1
1740.txt,4,1
1745.txt,-1,1
1747.txt,4,1
1748.txt,-2,1
1749.txt,4,1
1750.txt,4,1
1751.txt,-1,1
1752.txt,4,1
1755.txt,1,1
1756.txt,4,1
1757.txt,4,1
1758.txt,-1,1
1762.txt,4,1
1763.txt,4,1
1765.txt,4,1
1766.txt,4,1
1768.txt,4,1
1769.txt,4,1
1771.txt,4,1
1778.txt,4,1
1779.txt,4,1
1786.txt,4,1
1787.txt,-1,1
1790.txt,4,1
1792.txt,4,1
1794.txt,4,1
1796.txt,4,1
1797.txt,4,1
1799.txt,1,1
1802.txt,4,1
1806.txt,4,1
1807.txt,4,1
1808.txt,-1,1
1810.txt,4,1
1812.txt,-2,1
